CatId;TemplateId;Name;Levels;FatherNum;Active;CatId;TemplateId;AcctCode;ActId;AcctName
23;6;REBAJAS EN VENTAS;4;611;N;?;?;?;?;?
24;6;REBAJAS EN VENTAS;5;23;N;24;6;41750201;41750201;REBAJAS CON IVA
24;6;REBAJAS EN VENTAS;5;23;N;24;6;41750210;41750210;REBAJAS SIN IVA
25;6;DESCUENTOS EN VENTAS;4;612;N;?;?;?;?;?
26;6;DESCUENTOS EN VENTAS;5;25;N;26;6;41750301;41750301;DESCUENTOS CON IVA
26;6;DESCUENTOS EN VENTAS;5;25;N;26;6;41750310;41750310;DESCUENTOS SIN IVA
27;6;VENTAS ANULADAS;4;34;N;?;?;?;?;?
28;6;VENTAS ANULADAS;5;27;N;28;6;41750401;41750401;ANULADAS CON IVA
28;6;VENTAS ANULADAS;5;27;N;28;6;41750410;41750410;ANULADAS SIN IVA
29;6;VENTA EMPAQUES;3;2;N;?;?;?;?;?
30;6;RECUPERACIONES;4;613;N;?;?;?;?;?
31;6;RECUPERACIONES;5;30;N;31;6;IFRS 41800515;IFRS 41800515;RECUPERACIONES DIVERSAS
31;6;RECUPERACIONES;5;30;N;31;6;IFRS 41800510;IFRS 41800510;RECUPERACION DE CARTERA
31;6;RECUPERACIONES;5;30;N;31;6;IFRS 41800505;IFRS 41800505;REINTEGRO DE OTROS COSTOS Y GASTOS
32;6;Costos de Venta Operacionales;1;0;N;?;?;?;?;?
33;6;Costo de ventas;2;32;N;?;?;?;?;?
34;6;MATERIA PRIMA;3;37;N;?;?;?;?;?
35;6;VENTA DE OTROS PRODUCTOS;4;34;N;?;?;?;?;?
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359509;61359509;COSTO EN VENTAS (SBO) - CTA CONTRA. DE LA VALORIZACION DEL INVENTA.
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359508;61359508;COSTO EN VENTAS (SBO) - CTA DE DESVIACION DE STOCK WIP
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359507;61359507;COSTO EN VENTAS (SBO) - CTA DE STOCKS DE TRABAJO EN CURSO
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359506;61359506;COSTO DE VENTAS (SBO) - CTA COMPENSACION GASTOS
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359505;61359505;COSTO DE VENTAS (SBO) - CTA COMPENSA. M/CIAS
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359504;61359504;COSTO DE VENTAS (SBO) - CTA DE DIFER. DE PRECIO DE INVEN. FISICO
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359503;61359503;COSTO DE VENTAS (SBO) - CTA AJUSTE STOCK NEGATIVO
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359502;61359502;COSTO DE VENTAS (SBO) - CTA DE DESVIACION
36;6;VENTA DE OTROS PRODUCTOS;5;35;N;36;6;61359501;61359501;COSTO DE VENTA DE OTROS PRODUCTOS
37;6;Materia Prima;2;32;N;?;?;?;?;?
38;6;Gastos Financieros;2;503;N;?;?;?;?;?
39;6;COSTO DE PRODUCCION O DE OPERACION;4;34;N;?;?;?;?;?
40;6;COSTO DE PRODUCCION O DE OPERACION;5;39;N;40;6;71010101;71010101;COSTO DE PRODUCCION O DE OPERACION
41;6;FINANCIEROS;3;38;N;?;?;?;?;?
42;6;CTA DE COMPENSACION TRANSITORIA AJUSTE;4;34;N;?;?;?;?;?
43;6;CTA DE COMPENSACION TRANSITORIA AJUSTE;5;42;N;43;6;71990101;71990101;CTA DE COMPENSACION DIF POR CAMBIO DE LOTE
44;6;Mano De Obra Directa;2;32;N;?;?;?;?;?
45;6;MANO DE OBRA - PRODUCCION;3;44;N;?;?;?;?;?
46;6;SUELDOS;4;45;N;?;?;?;?;?
47;6;SUELDOS;5;46;N;47;6;72050601;72050601;SUELDOS - PRODUCCION
47;6;SUELDOS;5;46;N;47;6;72050602;72050602;PERMISOS NO REMUNERADOS
47;6;SUELDOS;5;46;N;47;6;72050604;72050604;LIC Y PERMISOS REMUNERADOS
47;6;SUELDOS;5;46;N;47;6;72050603;72050603;APOYO SOSTENIMIENTO SENA
48;6;HORAS EXTRAS Y RECARGOS;4;45;N;?;?;?;?;?
49;6;HORAS EXTRAS Y RECARGOS - PRODUCCION;5;48;N;49;6;72051501;72051501;HORAS EXTRAS Y RECARGOS - PRODUCCION
50;6;COMISIONES;4;45;N;?;?;?;?;?
51;6;COMISIONES - PRODUCCION;5;50;N;51;6;72051801;72051801;COMISIONES - PRODUCCION
52;6;INCAPACIDADES;4;45;N;?;?;?;?;?
53;6;INCAPACIDADES - PRODUCCION;5;52;N;53;6;72052401;72052401;INCAPACIDADES - PRODUCCION
54;6;AUXILIO DE TRANSPORTE;4;45;N;?;?;?;?;?
55;6;AUXILIO DE TRANSPORTE - PRODUCCION;5;54;N;55;6;72052701;72052701;AUXILIO DE TRANSPORTE - PRODUCCION
56;6;CESANTIAS;4;45;N;?;?;?;?;?
57;6;CESANTIAS;5;56;N;57;6;72053001;72053001;PROVISION CESANTIAS - PRODUCCION
57;6;CESANTIAS;5;56;N;57;6;72053006;72053006;PAGOS CESANTIAS - PRODUCCION
58;6;INTERESES DE CESANTIAS;4;45;N;?;?;?;?;?
59;6;INTERESES DE CESANTIAS;5;58;N;59;6;72053301;72053301;PROVISION INTERESES S/CESANTIAS - PRODUCCION
59;6;INTERESES DE CESANTIAS;5;58;N;59;6;72053306;72053306;PAGOS INTERESES S/CESANTIAS - PRODUCCION
60;6;PRIMA DE SERVICIOS;4;45;N;?;?;?;?;?
61;6;PRIMA DE SERVICIOS;5;60;N;61;6;72053601;72053601;PROVISION PRIMA DE SERVICIOS
61;6;PRIMA DE SERVICIOS;5;60;N;61;6;72053606;72053606;PAGO PRIMA DE SERVICIOS - PRODUCCION
62;6;VACACIONES;4;45;N;?;?;?;?;?
63;6;VACACIONES;5;62;N;63;6;72053901;72053901;PROVISION VACACIONES - PRODUCCION
63;6;VACACIONES;5;62;N;63;6;72053906;72053906;PAGOS VACACIONES - PRODUCCION
63;6;VACACIONES;5;62;N;63;6;72053907;72053907;PROPORCION VACACIONES MES ANTERIORES
64;6;AUXILIOS POR MERA LIBERALIDAD;4;45;N;?;?;?;?;?
65;6;AUXILIOS DE MOVILIZACION;5;64;N;65;6;72054501;72054501;AUXILIOS DE MOVILIZACION
66;6;BONIFICACIONES EXTRALEGALES;4;45;N;?;?;?;?;?
67;6;BONIFICACIONES POR MERALIBERALIDAD - PRODUCCION;5;66;N;67;6;72054801;72054801;BONIFICACIONES POR MERALIBERALIDAD - PRODUCCION
68;6;DOTACION Y SUMINISTROS A TRABAJADORES;4;45;N;?;?;?;?;?
69;6;DOTACION Y SUMINISTROS A TRABAJADORES - PRODUCCION;5;68;N;69;6;72055101;72055101;DOTACION Y SUMINISTROS A TRABAJADORES - PRODUCCION
70;6;SEGURO DE VIDA;4;45;N;?;?;?;?;?
71;6;SEGURO DE VIDA - PRODUCCION;5;70;N;71;6;72055401;72055401;SEGURO DE VIDA - PRODUCCION
72;6;INDEMNIZACIONES LABORALES;4;45;N;?;?;?;?;?
73;6;INDEMNIZACIONES LABORALES - PRODUCCION;5;72;N;73;6;72056001;72056001;INDEMNIZACIONES LABORALES - PRODUCCION
74;6;CAPACITACION AL PERSONAL;4;45;N;?;?;?;?;?
75;6;CAPACITACION AL PERSONAL - PRODUCCION;5;74;N;75;6;72056301;72056301;CAPACITACION AL PERSONAL - PRODUCCION
76;6;APORTES A ADMINISTRADORAS DE RIESGOS PROFESIO. ARP;4;45;N;?;?;?;?;?
77;6;APORTES A ADMINISTRADORAS DE RIESGOS PROFESIO. ARP - PRODUCCION;5;76;N;77;6;72056801;72056801;APORTES A ADMINISTRADORAS DE RIESGOS PROFESIO. ARP - PRODUCCION
78;6;APORTES A ENTIDADES PROMOTORAS DE SALUD ESP;4;45;N;?;?;?;?;?
79;6;APORTES A ENTIDADES PROMOTORAS DE SALUD ESP;5;78;N;79;6;72056901;72056901;APORTES A ENTIDADES PROMOTORAS DE SALUD ESP - PRODUCCION
79;6;APORTES A ENTIDADES PROMOTORAS DE SALUD ESP;5;78;N;79;6;72056906;72056906;E.P.S. APORTE EMPLEADO
79;6;APORTES A ENTIDADES PROMOTORAS DE SALUD ESP;5;78;N;79;6;72056907;72056907;PAGOS E.P.S. PROPORCIONALES MES ANT.
80;6;APORTES A FONDOSDE PENSIONES Y/O CESANTIAS;4;45;N;?;?;?;?;?
81;6;APORTES A FONDOSDE PENSIONES Y/O CESANTIAS;5;80;N;81;6;72057010;72057010;PROPORCION F.S.P. MES ANTERIORES
81;6;APORTES A FONDOSDE PENSIONES Y/O CESANTIAS;5;80;N;81;6;72057009;72057009;APORTE F.S.P. - PRODUCCION
81;6;APORTES A FONDOSDE PENSIONES Y/O CESANTIAS;5;80;N;81;6;72057007;72057007;PAGOS FONDO PEN. PROPORCIONALES MES ANT.
81;6;APORTES A FONDOSDE PENSIONES Y/O CESANTIAS;5;80;N;81;6;72057006;72057006;PENSION APORTE EMPLEADO
81;6;APORTES A FONDOSDE PENSIONES Y/O CESANTIAS;5;80;N;81;6;72057001;72057001;APORTES A FONDOS DE PENSIONES - PRODUCCION
82;6;APORTES CAJA DE COMPENSACION FAMILIAR;4;45;N;?;?;?;?;?
83;6;APORTES CAJA DE COMPENSACION FAMILIAR - PRODUCCION;5;82;N;83;6;72057201;72057201;APORTES CAJA DE COMPENSACION FAMILIAR - PRODUCCION
84;6;APORTES ICBF;4;45;N;?;?;?;?;?
85;6;APORTES ICBF - PRODUCCION;5;84;N;85;6;72057501;72057501;APORTES ICBF - PRODUCCION
86;6;SENA;4;45;N;?;?;?;?;?
87;6;SENA - PRODUCCION;5;86;N;87;6;72057801;72057801;SENA - PRODUCCION
88;6;GASTOS MEDICOS Y DROGAS;4;45;N;?;?;?;?;?
89;6;GASTOS MEDICOS Y DROGAS - PRODUCCION;5;88;N;89;6;72058401;72058401;GASTOS MEDICOS Y DROGAS - PRODUCCION
90;6;OTROS;4;45;N;?;?;?;?;?
91;6;OTROS - PRODUCCION;5;90;N;91;6;72059501;72059501;OTROS - PRODUCCION
92;6;MANO DE OBRA INDIRECTA;3;98;N;?;?;?;?;?
93;6;OTROS;4;45;N;?;?;?;?;?
94;6;OTROS COSTOS DIVERSOS - PRODUCCION;5;93;N;94;6;72959501;72959501;OTROS COSTOS DIVERSOS - PRODUCCION
95;6;MANO OBRA DIRECTA;3;44;N;?;?;?;?;?
96;6;NOMINA PRODUCCION;4;95;N;?;?;?;?;?
97;6;MANO DE OBRA DIRECTA - PRODUCCION;5;96;N;97;6;72990101;72990101;MANO DE OBRA DIRECTA - PRODUCCION
98;6;Costos Indirectos De fabricacion CIF;2;32;N;?;?;?;?;?
99;6;COSTOS INDIRECTOS DE FABRICACION;3;98;N;?;?;?;?;?
100;6;COSTOS INDIRECTOS DE FABRICACION;4;99;N;?;?;?;?;?
101;6;COSTOS INDIRECTOS DE FABRICACION;5;100;N;101;6;73010104;73010104;COSTOS ANALISIS DE LABORATORIO BPM
101;6;COSTOS INDIRECTOS DE FABRICACION;5;100;N;101;6;73010103;73010103;COSTOS INDIRECTOS SERVICIO DE DISEÑO
101;6;COSTOS INDIRECTOS DE FABRICACION;5;100;N;101;6;73010102;73010102;COSTOS INDIRECTOS CYREL
101;6;COSTOS INDIRECTOS DE FABRICACION;5;100;N;101;6;73010101;73010101;COSTOS INDIRECTOS DE FABRICACION - PRODUCCION
102;6;ARRENDAMIENTOS;3;98;N;?;?;?;?;?
103;6;CONSTRUCIONES Y EDIFICACIONES;4;102;N;?;?;?;?;?
104;6;CONSTRUCIONES Y EDIFICACIONES;5;103;N;104;6;73201001;73201001;ARRIENDO BOD 2 - KR 35 12 58 - IMPRESION PRODUCCION
104;6;CONSTRUCIONES Y EDIFICACIONES;5;103;N;104;6;73201002;73201002;ARRIENDO BOD 2 - KR 35 12 58 - CORRUGADO PRODUCCION
104;6;CONSTRUCIONES Y EDIFICACIONES;5;103;N;104;6;73201003;73201003;ARRIENDO BOD 3 - KR 35 12 70 - IMPRESION PRODUCCION
104;6;CONSTRUCIONES Y EDIFICACIONES;5;103;N;104;6;73201004;73201004;ARRIENDO BOD 3 - KR 35 12 70 - CORRUGADO PRODUCCION
104;6;CONSTRUCIONES Y EDIFICACIONES;5;103;N;104;6;73201005;73201005;ARRIENDO BOD 4 - KR 35 12A 10 - IMPRESION PRODUCCION
104;6;CONSTRUCIONES Y EDIFICACIONES;5;103;N;104;6;73201006;73201006;ARRIENDO BOD 4 - KR 35 12A 10 - CORRUGADO PRODUCCION
105;6;ALQUILER MAQUINA Y EQUIPO - PRODUCCION;4;102;N;?;?;?;?;?
106;6;ALQUILER MAQUINA Y EQUIPO - PRODUCCION;5;105;N;106;6;73201503;73201503;ALQUILER MAQUINA CORRUGADORA KUKO - PRODUCCION
106;6;ALQUILER MAQUINA Y EQUIPO - PRODUCCION;5;105;N;106;6;73201502;73201502;ALQUILER MAQUINA IMPRESORA IBIRAMA - PRODUCCION
106;6;ALQUILER MAQUINA Y EQUIPO - PRODUCCION;5;105;N;106;6;73201501;73201501;ALQUILER MAQUINA IMPRESORA FLEXO ETIRAMA - PRODUCCION
107;6;SERVICIOS - PRODUCCION;3;98;N;?;?;?;?;?
108;6;ASEO Y VIGILANCIA - PRODUCCION;4;107;N;?;?;?;?;?
109;6;ASEO Y VIGILANCIA - PRODUCCION;5;108;N;109;6;73350501;73350501;SERVICIO DE VIGILANCIA - IMPRESION PRODUCCION
109;6;ASEO Y VIGILANCIA - PRODUCCION;5;108;N;109;6;73350502;73350502;LIMPIEZA Y DESINFECCION - PRODUCCION
109;6;ASEO Y VIGILANCIA - PRODUCCION;5;108;N;109;6;73350503;73350503;SERVICIO DE VIGILANCIA - CORRUGADO PRODUCCION
109;6;ASEO Y VIGILANCIA - PRODUCCION;5;108;N;109;6;73350504;73350504;SERVICIO DE VIGILANCIA - DMPA BASE LACTEA
110;6;ACUEDUCTO Y ALCANTARILLADO - PRODUCCION;4;107;N;?;?;?;?;?
111;6;ACUEDUCTO Y ALCANTARILLADO - PRODUCCION;5;110;N;111;6;73352501;73352501;E.A.A.B. ACUEDUCTO BOD 5 - KR 35 12A 20 - IMPRESION
111;6;ACUEDUCTO Y ALCANTARILLADO - PRODUCCION;5;110;N;111;6;73352502;73352502;E.A.A.B. ACUEDUCTO BOD 5 - KR 35 12A 20 - CURRUGADO
111;6;ACUEDUCTO Y ALCANTARILLADO - PRODUCCION;5;110;N;111;6;73352503;73352503;E.A.A.B. ACUEDUCTO BOD 5 - KR 35 12A 20 - DMPA BASE LACTEA
112;6;ENERGIA ELECTRICA - PRODUCCION;4;107;N;?;?;?;?;?
113;6;ENERGIA ELECTRICA - PRODUCCION;5;112;N;113;6;73353007;73353007;ENERGIA ELECTRICA - MAQUINA DMPA
113;6;ENERGIA ELECTRICA - PRODUCCION;5;112;N;113;6;73353006;73353006;ENERGIA ELECTRICA - MAQUINA KUKO
113;6;ENERGIA ELECTRICA - PRODUCCION;5;112;N;113;6;73353005;73353005;ENERGIA ELECTRICA - MAQUINA WEINERT SALCHICA
113;6;ENERGIA ELECTRICA - PRODUCCION;5;112;N;113;6;73353004;73353004;ENERGIA ELECTRICA - MAQUINA WEINERT SALCHICHON
113;6;ENERGIA ELECTRICA - PRODUCCION;5;112;N;113;6;73353003;73353003;ENERGIA ELECTRICA - MAQUINA IBIRAMA
113;6;ENERGIA ELECTRICA - PRODUCCION;5;112;N;113;6;73353002;73353002;ENERGIA ELECTRICA - MAQUINA ETIRAMA
113;6;ENERGIA ELECTRICA - PRODUCCION;5;112;N;113;6;73353001;73353001;ENERGIA ELECTRICA - MAQUINA KPG
114;6;PUBLICACION PROPAGANDA Y PROMOCION - PRODUCCION;4;107;N;?;?;?;?;?
115;6;PUBLICIDAD PROPAGANDA Y PROMOCION - PRODUCCION;5;114;N;115;6;73356001;73356001;PUBLICIDAD PROPAGANDA Y PROMOCION - PRODUCCION
116;6;OTROS SERVICIOS - PRODUCCION;4;107;N;?;?;?;?;?
117;6;OTROS SERVICIOS - PRODUCCION;5;116;N;117;6;73359501;73359501;RESIDUOS PELIGROSOS  - PRODUCCION
117;6;OTROS SERVICIOS - PRODUCCION;5;116;N;117;6;73359502;73359502;MANEJO INTEGRAL DE PLAGAS
118;6;MANTENIMIENTO Y REPARACION - PRODUCCION;3;98;N;?;?;?;?;?
119;6;CONSTRUCCIONES Y EDIFICACIONES;4;118;N;?;?;?;?;?
120;6;MTTO CONSTRUCCIONES Y EDIFICACIONES - PRODUCCION;5;119;N;120;6;73451001;73451001;MTTO CONSTRUCCIONES Y EDIFICACIONES - PRODUCCION
121;6;MAQUINARIA Y EQUIPO - PRODUCCION;4;118;N;?;?;?;?;?
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451509;73451509;CALIBRACION Y MANTENIMIENTO BASCULAS Y BALANZAS
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451508;73451508;MTTO COSTOS EQUIPO APOYO
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451507;73451507;MTTO E INSUMOS MAQUINARIA CORRUGADORA (WEINNER SALCHICHA)
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451506;73451506;MTTO E INSUMOS MAQUINARIA CORRUGADORA (WEINNER SALCHICHÓN)
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451505;73451505;MTTO E INSUMOS MAQUINARIA (IBIRAMA)
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451504;73451504;MTTO E INSUMOS MAQUINARIA (ETIRAMA)
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451503;73451503;MTTO E INSUMOS MAQUINARIA (KPG)
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451502;73451502;MTTO E INSUMOS BASA LACTEA (DMPA)
122;6;MAQUINARIA Y EQUIPO - PRODUCCION;5;121;N;122;6;73451501;73451501;MTTO E INSUMOS MAQUINARIA CORRUGADORA KUKO
123;6;MAQUINA Y EQUIPO - DEPRECIACION;3;98;N;?;?;?;?;?
124;6;MAQUINA Y EQUIPO - DEPRECIACION;4;123;N;?;?;?;?;?
125;6;MAQUINA Y EQUIPO - DEPRECIACION;5;124;N;125;6;73601001;73601001;MAQUINA Y EQUIPO - DEPRECIACION
125;6;MAQUINA Y EQUIPO - DEPRECIACION;5;124;N;125;6;IFRS 73601001;IFRS 73601001;MAQUINARIA Y EQUIPO - DEPRECIACION
126;6;DIVERSOS - PRODUCCION;3;98;N;?;?;?;?;?
127;6;COMBUSTIBLES Y LUBRICANTES - PRODUCCION;4;126;N;?;?;?;?;?
128;6;COMBUSTIBLES Y LUBRICANTES - PRODUCCION;5;127;N;128;6;73953501;73953501;COMBUSTIBLES Y LUBRICANTES - PRODUCCION
129;6;OTROS - PRODUCCION;4;126;N;?;?;?;?;?
130;6;OTROS COSTOS DIVERSOS - PRODUCCION;5;129;N;130;6;73959501;73959501;OTROS COSTOS DIVERSOS - PRODUCCION
131;6;CIERRE OF;3;98;N;?;?;?;?;?
132;6;COSTOS INDIRECTOS DE FABRICACIÓN;4;131;N;?;?;?;?;?
133;6;COSTOS INDIRECTOS DE FABRICACIÓN - PRODUCCIÓN;5;132;N;?;?;?;?;?
134;6;Gastos Operacionales;1;0;N;?;?;?;?;?
135;6;Operacionales De Administracion;2;134;N;?;?;?;?;?
136;6;GASTOS DE PERSONAL;3;135;N;?;?;?;?;?
137;6;SALARIO INTEGRAL;4;136;N;?;?;?;?;?
138;6;SALARIO INTEGRAL ADMON;5;137;N;138;6;51050301;51050301;SALARIO INTEGRAL ADMON
139;6;SUELDOS;4;136;N;?;?;?;?;?
140;6;SUELDOS;5;139;N;140;6;51050601;51050601;SUELDOS ADMON
140;6;SUELDOS;5;139;N;140;6;51050602;51050602;PERMISOS NO REMUNERADOS
140;6;SUELDOS;5;139;N;140;6;51050603;51050603;APOYO SOSTENIMIENTO SENA
140;6;SUELDOS;5;139;N;140;6;51050604;51050604;LIC Y PERMISOS REMUNERADOS
141;6;HORAS EXTRAS Y RECARGOS;4;136;N;?;?;?;?;?
142;6;HORAS EXTRAS ADMON;5;141;N;142;6;51051501;51051501;HORAS EXTRAS ADMON
143;6;INCAPACIDADES;4;136;N;?;?;?;?;?
144;6;INCAPACIDAD ADMON;5;143;N;144;6;51052401;51052401;INCAPACIDAD ADMON
145;6;AUXILIO DE TRANSPORTE;4;136;N;?;?;?;?;?
146;6;AUXILIO TRANSPORTE ADMON;5;145;N;146;6;51052701;51052701;AUXILIO TRANSPORTE ADMON
147;6;CESANTIAS;4;136;N;?;?;?;?;?
148;6;CESANTIAS;5;147;N;148;6;51053002;51053002;PAGOS CESANTIAS ADMON
148;6;CESANTIAS;5;147;N;148;6;51053001;51053001;PROVISION CESANTIA ADMON
149;6;INTERESES SOBRE CESANTIAS;4;136;N;?;?;?;?;?
150;6;INTERESES SOBRE CESANTIAS;5;149;N;150;6;51053301;51053301;PROVISION INT. S/CES. ADMON
150;6;INTERESES SOBRE CESANTIAS;5;149;N;150;6;51053302;51053302;PAGOS INTERESES S/CES ADMON
151;6;PRIMA DE SERVICIOS;4;136;N;?;?;?;?;?
152;6;PRIMA DE SERVICIOS;5;151;N;152;6;51053601;51053601;PROVISION PRIMAS ADMON
152;6;PRIMA DE SERVICIOS;5;151;N;152;6;51053602;51053602;PAGOS PRIMA ADMON
153;6;VACACIONES;4;136;N;?;?;?;?;?
154;6;VACACIONES;5;153;N;154;6;51053901;51053901;PROVISION VACACIONES ADMON
154;6;VACACIONES;5;153;N;154;6;51053902;51053902;PAGOS VACACIONES ADMON
155;6;AUXILIOS POR MERALIBERALIDAD;4;136;N;?;?;?;?;?
156;6;AUXILIOS POR MERALIBERALIDAD;5;155;N;156;6;51054501;51054501;AUXILIOS POR MERA LIBERALIDAD
156;6;AUXILIOS POR MERALIBERALIDAD;5;155;N;156;6;51054502;51054502;AUXILIOS DE MOVILIZACION
157;6;BONIFICACIONES;4;136;N;?;?;?;?;?
158;6;BONIFICACIONES POR MERA LIBERALIDAD ADMON;5;157;N;158;6;51054801;51054801;BONIFICACIONES POR MERA LIBERALIDAD ADMON
159;6;DOTACION Y SUM. A TRABAJADORES;4;136;N;?;?;?;?;?
160;6;DOTACION A TRABAJADORES ADMON;5;159;N;160;6;51055101;51055101;DOTACION A TRABAJADORES ADMON
161;6;SEGUROS;4;136;N;?;?;?;?;?
162;6;SEGURO DE VIDA  - ADMON;5;161;N;162;6;51055405;51055405;SEGURO DE VIDA  - ADMON
163;6;PENSIONES DE JUBILACION;4;136;N;?;?;?;?;?
164;6;PENSIONES DE JUBILACION;5;163;N;164;6;51055901;51055901;PENSIONES DE JUBILACION
165;6;APORTE ADM. RIESGOS PROFESION;4;136;N;?;?;?;?;?
166;6;SURATEP - APORTE A.R.P. ADMON;5;165;N;166;6;51056801;51056801;SURATEP - APORTE A.R.P. ADMON
167;6;APORTE ENTIDADES PROM. SALUD;4;136;N;?;?;?;?;?
168;6;APORTE ENTIDADES PROM. SALUD;5;167;N;168;6;51056901;51056901;APORTE E.P.S. - ADMON
168;6;APORTE ENTIDADES PROM. SALUD;5;167;N;168;6;51056902;51056902;REINTREGRO APORTE EMPLEADO P.J.
168;6;APORTE ENTIDADES PROM. SALUD;5;167;N;168;6;51056912;51056912;PAGOS E.P.S. PROPORCIONALES MES ANT.
169;6;APORTE FONDO PENSIONES/CESANT;4;136;N;?;?;?;?;?
170;6;APORTE FONDO PENSIONES/CESANT;5;169;N;170;6;51057013;51057013;PAGOS FONDO PEN. PROPORCIONALES MES ANT.
170;6;APORTE FONDO PENSIONES/CESANT;5;169;N;170;6;51057012;51057012;FONDO PENSIONES VOLUNTARIAS - ADMON
170;6;APORTE FONDO PENSIONES/CESANT;5;169;N;170;6;51057011;51057011;FONDOS DE PENSIONES - ADMON APORTE EMPLEADO
170;6;APORTE FONDO PENSIONES/CESANT;5;169;N;170;6;51057003;51057003;PROPORCION F.S.P. MES ANTERIORES
170;6;APORTE FONDO PENSIONES/CESANT;5;169;N;170;6;51057002;51057002;APORTE F. S. P. - ADMON
170;6;APORTE FONDO PENSIONES/CESANT;5;169;N;170;6;51057001;51057001;FONDOS DE PENSIONES - ADMON
171;6;APORTES CAJAS COMPENS. FLIAR;4;136;N;?;?;?;?;?
172;6;CAFAM - ADMON;5;171;N;172;6;51057201;51057201;CAFAM - ADMON
173;6;APORTES I.C.B.F.;4;136;N;?;?;?;?;?
